ID,Input_Text,Input_Language,Target_Language,Translated_Text,Context,Sentence_Length,Intent
22,Combien ça coûte ?,fr,en,How much does it cost?,Technical,Short,Request
23,¡Necesito ayuda!,es,uk,Мені потрібна допомога!,Travel,Short,Request
24,Thank you for your attention.,en,fr,Merci pour votre attention.,Travel,Medium,Translate
25,Where can I find a hotel?,en,fr,Où puis-je trouver un hôtel ?,Formal,Medium,Inform
26,"¡Hola, cómo estás?",es,fr,"Bonjour, comment vas-tu ?",Casual,Short,Translate
27,Me gusta este lugar.,es,fr,J'aime cet endroit.,Technical,Short,Request
28,Can I try this on?,en,uk,Чи можу я спробувати це?,Technical,Medium,Translate
29,¿Cómo se llama tu perro?,es,en,What is your dog's name?,Formal,Medium,Request
30,¿Cuál es la contraseña del Wi-Fi?,es,fr,Quel est le mot de passe Wi-Fi ?,Travel,Medium,Inform
31,Can I take this to go?,en,fr,Puis-je emporter ceci ?,Emergency,Medium,Inform
32,I want a cup of coffee.,en,uk,Я хочу чашку кави.,Emergency,Medium,Inform
33,How long will the repair take?,en,fr,Combien de temps prendra la réparation ?,Casual,Medium,Inform
34,"Будь ласка, поясніть це ще раз.",uk,es,"Por favor, explícalo de nuevo.",Technical,Medium,Inform
35,Combien ça coûte ?,fr,uk,Скільки це коштує?,Casual,Short,Inform
36,I want a cup of coffee.,en,es,Quiero una taza de café.,Travel,Medium,Translate
37,¿A qué distancia está el aeropuerto?,es,fr,À quelle distance est l'aéroport ?,Technical,Medium,Translate
38,Is there parking here?,en,fr,Y a-t-il un parking ici ?,Technical,Short,Inform
39,What is artificial intelligence?,en,es,¿Qué es la inteligencia artificial?,Formal,Short,Request
40,"C'est urgent, appelez un médecin !",fr,en,"It's urgent, call a doctor!",Emergency,Medium,Clarify
41,Y a-t-il des places libres au restaurant ?,fr,en,Are there free seats in the restaurant?,Emergency,Medium,Clarify
42,Où puis-je acheter des billets pour un concert ?,fr,es,¿Dónde puedo comprar entradas para un concierto?,Technical,Medium,Translate
43,Скільки це коштує?,uk,es,¿Cuánto cuesta?,Emergency,Short,Inform
44,¿Hay asientos libres en el restaurante?,es,fr,Y a-t-il des places libres au restaurant ?,Formal,Medium,Translate
45,How do I contact support?,en,fr,Comment contacter le support ?,Casual,Medium,Inform
46,Can I return this item?,en,es,¿Puedo devolver este artículo?,Travel,Medium,Translate
47,¿Cuánto cuesta el boleto?,es,en,How much is the ticket?,Travel,Short,Clarify
48,What is artificial intelligence?,en,fr,Qu'est-ce que l'intelligence artificielle ?,Emergency,Short,Translate
49,Comment fonctionne ce programme ?,fr,es,¿Cómo funciona este programa?,Travel,Medium,Clarify
50,Puis-je payer par carte ?,fr,uk,Чи можу я оплатити карткою?,Casual,Medium,Inform
51,Puis-je essayer ceci ?,fr,uk,Чи можу я спробувати це?,Emergency,Short,Request
52,Де найближча аптека?,uk,fr,Où est la pharmacie la plus proche ?,Emergency,Short,Inform
53,Y a-t-il un parking ici ?,fr,es,¿Hay estacionamiento aquí?,Technical,Medium,Inform
54,J'ai besoin d'une traduction de ce document.,fr,es,Necesito una traducción de este documento.,Formal,Medium,Request
55,Мені потрібна допомога!,uk,en,I need help!,Technical,Short,Translate
56,Мені подобається це місце.,uk,es,Me gusta este lugar.,Formal,Short,Request
57,¿Dónde puedo comprar entradas para un concierto?,es,fr,Où puis-je acheter des billets pour un concert ?,Travel,Medium,Inform
58,Is it raining?,en,uk,Чи йде дощ?,Emergency,Short,Inform
59,I need help!,en,uk,Мені потрібна допомога!,Casual,Short,Inform
60,Чи можу я повернути цей товар?,uk,en,Can I return this item?,Formal,Medium,Request
61,Я хочу чашку кави.,uk,fr,Je veux une tasse de café.,Casual,Short,Translate
62,¿Cuánto cuesta este libro?,es,uk,Скільки коштує ця книга?,Technical,Short,Translate
63,Do you have a vegetarian menu?,en,es,¿Tienen menú vegetariano?,Technical,Medium,Inform
64,Puis-je commander un taxi ?,fr,uk,Чи можу я замовити таксі?,Emergency,Medium,Inform
65,Чи є тут парковка?,uk,en,Is there parking here?,Formal,Short,Translate
66,Y a-t-il un parking ici ?,fr,es,¿Hay estacionamiento aquí?,Technical,Medium,Translate
67,Puis-je commander un taxi ?,fr,uk,Чи можу я замовити таксі?,Technical,Medium,Translate
68,I lost my keys.,en,es,Perdí mis llaves.,Technical,Short,Translate
69,Як дістатися до вокзалу?,uk,fr,Comment aller à la gare ?,Travel,Short,Translate
70,Дякую за вашу увагу.,uk,en,Thank you for your attention.,Emergency,Short,Request
71,Combien coûte ce livre ?,fr,uk,Скільки коштує ця книга?,Formal,Medium,Translate
72,Where is my phone?,en,uk,Де мій телефон?,Formal,Short,Inform
73,Мені подобається це місце.,uk,es,Me gusta este lugar.,Technical,Short,Inform
74,Puis-je retourner cet article ?,fr,es,¿Puedo devolver este artículo?,Formal,Medium,Translate
75,Comment connecter une imprimante à l'ordinateur ?,fr,es,¿Cómo conectar una impresora a la computadora?,Technical,Medium,Request
76,Чи можу я повернути цей товар?,uk,es,¿Puedo devolver este artículo?,Emergency,Medium,Translate
77,Де найближча аптека?,uk,en,Where is the nearest pharmacy?,Technical,Short,Request
78,Qu'est-ce que l'intelligence artificielle ?,fr,es,¿Qué es la inteligencia artificial?,Travel,Medium,Request
79,Чи є тут парковка?,uk,fr,Y a-t-il un parking ici ?,Travel,Short,Translate
80,¿Dónde puedo encontrar un hotel?,es,en,Where can I find a hotel?,Formal,Medium,Clarify
81,How does this program work?,en,fr,Comment fonctionne ce programme ?,Emergency,Medium,Request
82,¿Puedo devolver este artículo?,es,en,Can I return this item?,Emergency,Short,Translate
83,Where can I buy concert tickets?,en,uk,Де я можу купити квитки на концерт?,Travel,Medium,Inform
84,Please explain it again.,en,es,"Por favor, explícalo de nuevo.",Technical,Short,Request
85,What is your dog's name?,en,fr,Comment s'appelle votre chien ?,Formal,Medium,Inform
86,¿Cuánto cuesta este libro?,es,uk,Скільки коштує ця книга?,Technical,Short,Translate
87,¿Puedo llevar esto para llevar?,es,fr,Puis-je emporter ceci ?,Emergency,Medium,Translate
88,¿Dónde está la farmacia más cercana?,es,fr,Où est la pharmacie la plus proche ?,Travel,Medium,Translate
89,Can I pay by card?,en,es,¿Puedo pagar con tarjeta?,Emergency,Medium,Inform
90,Як зв’язатися з підтримкою?,uk,fr,Comment contacter le support ?,Casual,Short,Translate
91,¿Cómo funciona este programa?,es,uk,Як працює ця програма?,Formal,Short,Translate
92,"Hello, how are you?",en,uk,"Привіт, як справи?",Travel,Short,Request
93,How does this program work?,en,es,¿Cómo funciona este programa?,Emergency,Medium,Request
94,"S'il vous plaît, expliquez encore.",fr,uk,"Будь ласка, поясніть це ще раз.",Formal,Medium,Translate
95,Як налаштувати Wi-Fi?,uk,en,How to set up Wi-Fi?,Casual,Short,Request
96,Де найближча аптека?,uk,es,¿Dónde está la farmacia más cercana?,Emergency,Short,Clarify
97,Як зв’язатися з підтримкою?,uk,en,How do I contact support?,Emergency,Short,Inform
98,Чи є у вас вегетаріанське меню?,uk,fr,Avez-vous un menu végétarien ?,Formal,Medium,Request
99,¿Cómo llegar a la estación de tren?,es,fr,Comment aller à la gare ?,Travel,Medium,Translate
100,What time is it now?,en,uk,Який час зараз?,Casual,Medium,Translate
101,Чи йде дощ?,uk,es,¿Está lloviendo?,Technical,Short,Request
102,Quel est le taux de change aujourd'hui ?,fr,en,What is today's exchange rate?,Travel,Medium,Request
103,Скільки коштує ця книга?,uk,fr,Combien coûte ce livre ?,Formal,Short,Clarify
104,Please explain it again.,en,uk,"Будь ласка, поясніть це ще раз.",Formal,Short,Request
105,¿Dónde está la biblioteca?,es,fr,Où est la bibliothèque ?,Emergency,Short,Translate
106,Are there free seats in the restaurant?,en,uk,Чи є вільні місця в ресторані?,Technical,Medium,Translate
107,Як звати вашого собаку?,uk,fr,Comment s'appelle votre chien ?,Technical,Short,Request
108,¿Dónde está la biblioteca?,es,en,Where is the library?,Casual,Short,Translate
109,¿Dónde puedo comprar entradas para un concierto?,es,uk,Де я можу купити квитки на концерт?,Emergency,Medium,Clarify
110,¿Cuánto cuesta el boleto?,es,uk,Скільки коштує квиток?,Travel,Short,Translate
111,J'ai besoin d'une traduction de ce document.,fr,uk,Мені потрібен переклад цього документа.,Casual,Medium,Request
112,"¡Es urgente, llame a un médico!",es,uk,"Це терміново, викличте лікаря!",Technical,Medium,Request
113,¡Esto es delicioso!,es,uk,Це смачно!,Technical,Short,Translate
114,Як підключити принтер до комп'ютера?,uk,es,¿Cómo conectar una impresora a la computadora?,Formal,Medium,Translate
115,Де я можу знайти готель?,uk,fr,Où puis-je trouver un hôtel ?,Formal,Medium,Request
116,Який сьогодні курс валют?,uk,en,What is today's exchange rate?,Casual,Short,Clarify
117,Me gusta este lugar.,es,en,I like this place.,Emergency,Short,Translate
118,Comment contacter le support ?,fr,en,How do I contact support?,Technical,Medium,Translate
119,¿A qué distancia está el aeropuerto?,es,fr,À quelle distance est l'aéroport ?,Emergency,Medium,Translate
120,Avez-vous un menu végétarien ?,fr,uk,Чи є у вас вегетаріанське меню?,Travel,Medium,Inform
121,Чи є у вас вегетаріанське меню?,uk,es,¿Tienen menú vegetariano?,Technical,Medium,Clarify
122,Where can I find a hotel?,en,es,¿Dónde puedo encontrar un hotel?,Technical,Medium,Request
123,¿Puedo pagar con tarjeta?,es,en,Can I pay by card?,Casual,Short,Inform
124,Combien coûte le billet ?,fr,es,¿Cuánto cuesta el boleto?,Formal,Medium,Inform
125,Де знаходиться бібліотека?,uk,en,Where is the library?,Travel,Short,Request
126,Where is the nearest pharmacy?,en,uk,Де найближча аптека?,Travel,Medium,Clarify
127,Où est mon téléphone ?,fr,es,¿Dónde está mi teléfono?,Formal,Medium,Translate
128,Combien de temps prendra la réparation ?,fr,en,How long will the repair take?,Travel,Medium,Inform
129,"Привіт, як справи?",uk,es,"¡Hola, cómo estás?",Technical,Short,Translate
130,How does this program work?,en,fr,Comment fonctionne ce programme ?,Travel,Medium,Translate
131,¿Puedo llevar esto para llevar?,es,uk,Чи можу я взяти це з собою?,Casual,Medium,Inform
132,J'ai besoin d'une traduction de ce document.,fr,uk,Мені потрібен переклад цього документа.,Casual,Medium,Translate
133,¿Cuánto cuesta este libro?,es,fr,Combien coûte ce livre ?,Technical,Short,Translate
134,Як налаштувати Wi-Fi?,uk,fr,Comment configurer le Wi-Fi ?,Emergency,Short,Clarify
135,Чи є вільні місця в ресторані?,uk,en,Are there free seats in the restaurant?,Travel,Medium,Request
136,¿Cómo se llama tu perro?,es,fr,Comment s'appelle votre chien ?,Formal,Medium,Request
137,¿Puedo llevar esto para llevar?,es,fr,Puis-je emporter ceci ?,Casual,Medium,Translate
138,Where can I buy concert tickets?,en,uk,Де я можу купити квитки на концерт?,Casual,Medium,Translate
139,¿Cómo configurar Wi-Fi?,es,uk,Як налаштувати Wi-Fi?,Formal,Short,Translate
140,¡Esto es delicioso!,es,uk,Це смачно!,Technical,Short,Request
141,Où puis-je acheter des billets pour un concert ?,fr,uk,Де я можу купити квитки на концерт?,Formal,Medium,Inform
142,"¡Es urgente, llame a un médico!",es,fr,"C'est urgent, appelez un médecin !",Formal,Medium,Request
143,What is today's exchange rate?,en,uk,Який сьогодні курс валют?,Formal,Medium,Translate
144,¿Cuál es el tipo de cambio hoy?,es,en,What is today's exchange rate?,Technical,Medium,Inform
145,¡Esto es delicioso!,es,fr,C'est délicieux !,Travel,Short,Translate
146,¿Cuánto cuesta el boleto?,es,en,How much is the ticket?,Emergency,Short,Request
147,I'm cold.,en,fr,J'ai froid.,Travel,Short,Translate
148,Скільки коштує квиток?,uk,es,¿Cuánto cuesta el boleto?,Casual,Short,Translate
149,¿Cómo contacto con soporte?,es,fr,Comment contacter le support ?,Casual,Short,Request
150,Як далеко до аеропорту?,uk,es,¿A qué distancia está el aeropuerto?,Casual,Short,Request
151,"C'est urgent, appelez un médecin !",fr,en,"It's urgent, call a doctor!",Emergency,Medium,Inform
152,Où puis-je trouver un hôtel ?,fr,en,Where can I find a hotel?,Travel,Medium,Inform
153,Qu'est-ce que l'intelligence artificielle ?,fr,uk,Що таке штучний інтелект?,Emergency,Medium,Clarify
154,Мені подобається це місце.,uk,es,Me gusta este lugar.,Casual,Short,Translate
155,Мені потрібен переклад цього документа.,uk,fr,J'ai besoin d'une traduction de ce document.,Travel,Medium,Inform
156,Мені потрібен переклад цього документа.,uk,en,I need a translation of this document.,Emergency,Medium,Request
157,¿Cómo configurar Wi-Fi?,es,uk,Як налаштувати Wi-Fi?,Technical,Short,Translate
158,¿Dónde está la farmacia más cercana?,es,en,Where is the nearest pharmacy?,Travel,Medium,Inform
159,Чи є тут парковка?,uk,es,¿Hay estacionamiento aquí?,Formal,Short,Request
160,Який у вас пароль Wi-Fi?,uk,en,What is your Wi-Fi password?,Emergency,Medium,Translate
161,¿Qué hora es ahora?,es,en,What time is it now?,Technical,Short,Request
162,Where is my phone?,en,es,¿Dónde está mi teléfono?,Formal,Short,Request
163,¿Hay estacionamiento aquí?,es,uk,Чи є тут парковка?,Travel,Short,Translate
164,Мені подобається це місце.,uk,fr,J'aime cet endroit.,Travel,Short,Inform
165,How to get to the train station?,en,fr,Comment aller à la gare ?,Emergency,Medium,Inform
166,"C'est urgent, appelez un médecin !",fr,es,"¡Es urgente, llame a un médico!",Emergency,Medium,Translate
167,Can I order a taxi?,en,es,¿Puedo pedir un taxi?,Formal,Medium,Clarify
168,J'ai perdu mes clés.,fr,uk,Я загубив свої ключі.,Technical,Short,Translate
169,Me gusta este lugar.,es,en,I like this place.,Formal,Short,Inform
170,Я хочу чашку кави.,uk,es,Quiero una taza de café.,Travel,Short,Request
171,Де мій телефон?,uk,fr,Où est mon téléphone ?,Technical,Short,Translate
172,I need help!,en,fr,J'ai besoin d'aide !,Formal,Short,Translate
173,Скільки коштує ця книга?,uk,es,¿Cuánto cuesta este libro?,Technical,Short,Clarify
174,I need a translation of this document.,en,es,Necesito una traducción de este documento.,Formal,Medium,Request
175,"Bonjour, comment vas-tu ?",fr,uk,"Привіт, як справи?",Casual,Short,Inform
176,How do I contact support?,en,es,¿Cómo contacto con soporte?,Formal,Medium,Request
177,Чи можу я замовити таксі?,uk,en,Can I order a taxi?,Technical,Medium,Translate
178,Where is my phone?,en,uk,Де мій телефон?,Technical,Short,Translate
179,¿Cómo contacto con soporte?,es,uk,Як зв’язатися з підтримкою?,Casual,Short,Translate
180,Comment connecter une imprimante à l'ordinateur ?,fr,en,How to connect a printer to the computer?,Formal,Medium,Request
181,Puis-je commander un taxi ?,fr,en,Can I order a taxi?,Formal,Medium,Inform
182,Чи є у вас вегетаріанське меню?,uk,es,¿Tienen menú vegetariano?,Technical,Medium,Inform
183,Як далеко до аеропорту?,uk,fr,À quelle distance est l'aéroport ?,Formal,Short,Inform
184,This is delicious!,en,fr,C'est délicieux !,Technical,Short,Translate
185,Can I try this on?,en,fr,Puis-je essayer ceci ?,Formal,Medium,Request
186,¿Dónde puedo encontrar un hotel?,es,uk,Де я можу знайти готель?,Casual,Medium,Request
187,What is your dog's name?,en,fr,Comment s'appelle votre chien ?,Casual,Medium,Translate
188,Is it raining?,en,es,¿Está lloviendo?,Casual,Short,Clarify
189,¿Qué es la inteligencia artificial?,es,en,What is artificial intelligence?,Formal,Medium,Inform
190,Do you have a vegetarian menu?,en,fr,Avez-vous un menu végétarien ?,Casual,Medium,Request
191,Чи можу я оплатити карткою?,uk,fr,Puis-je payer par carte ?,Formal,Medium,Clarify
192,Мені подобається це місце.,uk,en,I like this place.,Casual,Short,Request
193,Where can I buy concert tickets?,en,uk,Де я можу купити квитки на концерт?,Travel,Medium,Request
194,"Це терміново, викличте лікаря!",uk,es,"¡Es urgente, llame a un médico!",Technical,Short,Translate
195,¿Cuánto tiempo tomará la reparación?,es,en,How long will the repair take?,Formal,Medium,Request
196,How much does it cost?,en,fr,Combien ça coûte ?,Casual,Medium,Request
197,Necesito una traducción de este documento.,es,fr,J'ai besoin d'une traduction de ce document.,Formal,Medium,Translate
198,Це смачно!,uk,en,This is delicious!,Technical,Short,Translate
199,¿Cuánto cuesta?,es,uk,Скільки це коштує?,Emergency,Short,Clarify
200,Чи є тут парковка?,uk,en,Is there parking here?,Travel,Short,Request
201,¿Cuál es la contraseña del Wi-Fi?,es,uk,Який у вас пароль Wi-Fi?,Emergency,Medium,Clarify
202,¿Dónde puedo encontrar un hotel?,es,uk,Де я можу знайти готель?,Emergency,Medium,Clarify
203,Мені потрібна допомога!,uk,fr,J'ai besoin d'aide !,Casual,Short,Request
204,Est-ce qu'il pleut ?,fr,uk,Чи йде дощ?,Casual,Short,Request
205,¿Cuál es la contraseña del Wi-Fi?,es,en,What is your Wi-Fi password?,Travel,Medium,Request
206,How to set up Wi-Fi?,en,uk,Як налаштувати Wi-Fi?,Travel,Medium,Request
207,Y a-t-il des places libres au restaurant ?,fr,uk,Чи є вільні місця в ресторані?,Formal,Medium,Translate
208,J'ai froid.,fr,en,I'm cold.,Technical,Short,Request
209,What is artificial intelligence?,en,es,¿Qué es la inteligencia artificial?,Casual,Short,Translate
210,What is today's exchange rate?,en,fr,Quel est le taux de change aujourd'hui ?,Emergency,Medium,Clarify
211,Can I return this item?,en,es,¿Puedo devolver este artículo?,Emergency,Medium,Request
212,Як зв’язатися з підтримкою?,uk,en,How do I contact support?,Technical,Short,Request
213,I lost my keys.,en,fr,J'ai perdu mes clés.,Technical,Short,Translate
214,Як далеко до аеропорту?,uk,fr,À quelle distance est l'aéroport ?,Technical,Short,Request
215,¿Puedo pagar con tarjeta?,es,uk,Чи можу я оплатити карткою?,Casual,Short,Inform
216,¡Esto es delicioso!,es,fr,C'est délicieux !,Formal,Short,Translate
217,Який час зараз?,uk,en,What time is it now?,Technical,Short,Translate
218,J'ai besoin d'une traduction de ce document.,fr,uk,Мені потрібен переклад цього документа.,Travel,Medium,Request
219,Скільки коштує квиток?,uk,es,¿Cuánto cuesta el boleto?,Emergency,Short,Inform
220,Чи йде дощ?,uk,es,¿Está lloviendo?,Technical,Short,Request
221,¿Cuál es la contraseña del Wi-Fi?,es,fr,Quel est le mot de passe Wi-Fi ?,Emergency,Medium,Inform
222,Merci pour votre attention.,fr,en,Thank you for your attention.,Travel,Short,Inform
223,Quiero una taza de café.,es,uk,Я хочу чашку кави.,Emergency,Medium,Clarify
224,How to set up Wi-Fi?,en,uk,Як налаштувати Wi-Fi?,Technical,Medium,Request
225,¿Dónde puedo encontrar un hotel?,es,en,Where can I find a hotel?,Formal,Medium,Translate
226,Puis-je emporter ceci ?,fr,en,Can I take this to go?,Technical,Short,Translate
227,I like this place.,en,es,Me gusta este lugar.,Travel,Short,Inform
228,"C'est urgent, appelez un médecin !",fr,en,"It's urgent, call a doctor!",Casual,Medium,Request
229,"Це терміново, викличте лікаря!",uk,fr,"C'est urgent, appelez un médecin !",Casual,Short,Clarify
230,Avez-vous des réductions ?,fr,es,¿Tienen descuentos?,Casual,Short,Translate
231,¿Hay asientos libres en el restaurante?,es,uk,Чи є вільні місця в ресторані?,Technical,Medium,Inform
232,¿Puedo llevar esto para llevar?,es,uk,Чи можу я взяти це з собою?,Emergency,Medium,Inform
233,C'est délicieux !,fr,en,This is delicious!,Travel,Short,Clarify
234,Як підключити принтер до комп'ютера?,uk,en,How to connect a printer to the computer?,Travel,Medium,Request
235,Où puis-je trouver un hôtel ?,fr,uk,Де я можу знайти готель?,Technical,Medium,Translate
236,Tengo frío.,es,uk,Мені холодно.,Travel,Short,Request
237,"C'est urgent, appelez un médecin !",fr,es,"¡Es urgente, llame a un médico!",Casual,Medium,Request
238,¿Cuánto cuesta este libro?,es,fr,Combien coûte ce livre ?,Emergency,Short,Translate
239,Do you have any discounts?,en,es,¿Tienen descuentos?,Emergency,Medium,Inform
240,¿Puedo pedir un taxi?,es,fr,Puis-je commander un taxi ?,Formal,Short,Translate
241,Y a-t-il des places libres au restaurant ?,fr,en,Are there free seats in the restaurant?,Travel,Medium,Translate
242,Can I take this to go?,en,fr,Puis-je emporter ceci ?,Emergency,Medium,Translate
243,Combien coûte ce livre ?,fr,en,How much is this book?,Technical,Medium,Inform
244,Як налаштувати Wi-Fi?,uk,fr,Comment configurer le Wi-Fi ?,Technical,Short,Inform
245,Як зв’язатися з підтримкою?,uk,es,¿Cómo contacto con soporte?,Casual,Short,Request
246,Merci pour votre attention.,fr,uk,Дякую за вашу увагу.,Casual,Short,Inform
247,Please explain it again.,en,es,"Por favor, explícalo de nuevo.",Travel,Short,Translate
248,¿Puedo pagar con tarjeta?,es,fr,Puis-je payer par carte ?,Casual,Short,Request
249,Thank you for your attention.,en,es,Gracias por su atención.,Technical,Medium,Inform
250,Where is the nearest pharmacy?,en,fr,Où est la pharmacie la plus proche ?,Travel,Medium,Request
251,I want a cup of coffee.,en,uk,Я хочу чашку кави.,Formal,Medium,Translate
252,¿Dónde está la farmacia más cercana?,es,uk,Де найближча аптека?,Emergency,Medium,Clarify
253,Скільки це коштує?,uk,es,¿Cuánto cuesta?,Emergency,Short,Translate
254,What is artificial intelligence?,en,es,¿Qué es la inteligencia artificial?,Travel,Short,Request
255,This is delicious!,en,uk,Це смачно!,Emergency,Short,Request
256,Où puis-je acheter des billets pour un concert ?,fr,es,¿Dónde puedo comprar entradas para un concierto?,Emergency,Medium,Translate
257,Як далеко до аеропорту?,uk,es,¿A qué distancia está el aeropuerto?,Casual,Short,Translate
258,Puis-je retourner cet article ?,fr,uk,Чи можу я повернути цей товар?,Casual,Medium,Translate
259,Чи можу я взяти це з собою?,uk,fr,Puis-je emporter ceci ?,Formal,Medium,Translate
260,¿Qué hora es ahora?,es,fr,Quelle heure est-il maintenant ?,Emergency,Short,Translate
261,Où est la bibliothèque ?,fr,en,Where is the library?,Formal,Medium,Translate
262,Can I pay by card?,en,fr,Puis-je payer par carte ?,Casual,Medium,Request
263,What time is it now?,en,es,¿Qué hora es ahora?,Casual,Medium,Translate
264,Où puis-je acheter des billets pour un concert ?,fr,es,¿Dónde puedo comprar entradas para un concierto?,Technical,Medium,Request
265,À quelle distance est l'aéroport ?,fr,uk,Як далеко до аеропорту?,Emergency,Medium,Request
266,Comment configurer le Wi-Fi ?,fr,uk,Як налаштувати Wi-Fi?,Formal,Medium,Inform
267,"Будь ласка, поясніть це ще раз.",uk,es,"Por favor, explícalo de nuevo.",Emergency,Medium,Request
268,Puis-je retourner cet article ?,fr,es,¿Puedo devolver este artículo?,Technical,Medium,Inform
269,Where is the library?,en,uk,Де знаходиться бібліотека?,Travel,Short,Request
270,¿Cuál es el tipo de cambio hoy?,es,uk,Який сьогодні курс валют?,Technical,Medium,Inform
271,Perdí mis llaves.,es,fr,J'ai perdu mes clés.,Formal,Short,Request
272,I'm cold.,en,fr,J'ai froid.,Travel,Short,Translate
273,¿Hay asientos libres en el restaurante?,es,fr,Y a-t-il des places libres au restaurant ?,Formal,Medium,Translate
274,Comment contacter le support ?,fr,es,¿Cómo contacto con soporte?,Emergency,Medium,Request
275,Чи є у вас знижки?,uk,es,¿Tienen descuentos?,Travel,Medium,Translate
276,"¡Es urgente, llame a un médico!",es,en,"It's urgent, call a doctor!",Formal,Medium,Translate
277,¡Necesito ayuda!,es,fr,J'ai besoin d'aide !,Formal,Short,Translate
278,I like this place.,en,es,Me gusta este lugar.,Formal,Short,Clarify
279,Як працює ця програма?,uk,es,¿Cómo funciona este programa?,Emergency,Short,Translate
280,How to connect a printer to the computer?,en,es,¿Cómo conectar una impresora a la computadora?,Emergency,Medium,Clarify
281,I need help!,en,uk,Мені потрібна допомога!,Casual,Short,Request
282,¿Cuál es el tipo de cambio hoy?,es,en,What is today's exchange rate?,Casual,Medium,Translate
283,"¡Es urgente, llame a un médico!",es,uk,"Це терміново, викличте лікаря!",Formal,Medium,Clarify
284,Est-ce qu'il pleut ?,fr,es,¿Está lloviendo?,Emergency,Short,Request
285,Quel est le taux de change aujourd'hui ?,fr,es,¿Cuál es el tipo de cambio hoy?,Travel,Medium,Translate
286,¿Qué hora es ahora?,es,fr,Quelle heure est-il maintenant ?,Travel,Short,Translate
287,Where is the library?,en,es,¿Dónde está la biblioteca?,Formal,Short,Translate
288,Gracias por su atención.,es,uk,Дякую за вашу увагу.,Formal,Short,Request
289,"Bonjour, comment vas-tu ?",fr,es,"¡Hola, cómo estás?",Technical,Short,Request
290,Мені холодно.,uk,fr,J'ai froid.,Travel,Short,Translate
291,How much is the ticket?,en,es,¿Cuánto cuesta el boleto?,Casual,Medium,Clarify
292,Чи можу я повернути цей товар?,uk,en,Can I return this item?,Emergency,Medium,Translate
293,Я хочу чашку кави.,uk,es,Quiero una taza de café.,Casual,Short,Request
294,¿Cuánto tiempo tomará la reparación?,es,en,How long will the repair take?,Casual,Medium,Inform
295,¿Cómo conectar una impresora a la computadora?,es,fr,Comment connecter une imprimante à l'ordinateur ?,Casual,Medium,Translate
296,¿Cuánto cuesta este libro?,es,fr,Combien coûte ce livre ?,Casual,Short,Request
297,"Будь ласка, поясніть це ще раз.",uk,es,"Por favor, explícalo de nuevo.",Technical,Medium,Inform
298,"Привіт, як справи?",uk,en,"Hello, how are you?",Travel,Short,Translate
299,Avez-vous des réductions ?,fr,en,Do you have any discounts?,Emergency,Short,Translate
300,"Bonjour, comment vas-tu ?",fr,uk,"Привіт, як справи?",Formal,Short,Translate
301,Чи можу я замовити таксі?,uk,en,Can I order a taxi?,Casual,Medium,Request
302,How to get to the train station?,en,uk,Як дістатися до вокзалу?,Casual,Medium,Request
303,How much is this book?,en,fr,Combien coûte ce livre ?,Casual,Medium,Translate
304,Qu'est-ce que l'intelligence artificielle ?,fr,es,¿Qué es la inteligencia artificial?,Technical,Medium,Request
305,Please explain it again.,en,uk,"Будь ласка, поясніть це ще раз.",Formal,Short,Clarify
